Category,Questions,Yes Type,No Type
Other Symptoms,Are you experiencing any pain or discomfort in other areas of your body besides your low back?,"Yes, I am experiencing digestive issues such as constipation or diarrhea that are related to my low back pain.","No, I am not experiencing pain or discomfort in any other areas of my body besides my low back."
Pain,Has your pain been constant or has it come and gone?,"My pain comes and goes throughout the day, but is always present to some degree.",My pain has been fluctuating.
Pain,Have you noticed any improvement or changes in your pain over time?,My pain has become more severe over time.," No, my pain has stayed the same."
Pain,How would you describe the pain?,My pain feels like a cramp.,My pain is worse with certain movements or positions.
Pain,Is the pain constant or does it come and go?,My pain is influenced by changes in the weather.,The pain is steady.
Pain,"Can you rate your pain on a scale of 0 to 10, with 10 being the worst pain you have ever experienced?","""Right now, my pain is a 6, but it usually gets worse in the morning when I first wake up.""",Moderately severe pain 5 - Severe pain 6 - Very severe pain
Pain,"On a scale of 1 to 10, how would you rate your pain?",5 - Moderately Severe Pain,1 - No Pain
Pain,Have you noticed any changes in the intensity or location of your pain over time?,I've noticed that the pain is now affecting my ability to bend or twist my back.,"No, the intensity of the pain has remained constant."
Scenario 1,"Hi there, I’m a physical therapist. What brings you in today?","Hi, I’ve been having some low back pain for a few days now and it’s really bothering me.",
Scenario 1,"Hi there, my name is [insert name] and I’m a physical therapist. What brings you in today?","Hi, I’ve been having some low back pain for a few days now and it’s really bothering me.",
Scenario 1,I see. Can you tell me how the pain started?,"Honestly, I’m not sure. It just kind of started hurting one day and has been getting worse.",
Scenario 1,"Okay, can you describe the pain for me? Is it a dull ache or more sharp and stabbing?","It’s more of a dull ache, but it can get pretty intense at times.",
Scenario 1,Got it. And what seems to make the pain worse? Are there any specific activities that cause it to flare up?,"Well, sitting for long periods of time definitely makes it worse, and bending over or lifting heavy objects makes it hurt too.",
Scenario 1,I see. And are there any activities or positions that help ease the pain?,"Yeah, actually lying down on my back with a pillow under my knees seems to help a bit.",
Scenario 1,That’s good to know. How about the pain throughout the day? Does it tend to be worse at certain times or does it stay consistent?,"It’s pretty consistent throughout the day, but it does tend to get worse towards the end of the day.",
Scenario 1,"Okay, thanks for letting me know. Have you had any previous injuries to your back or any other medical issues that could be related?","No, not really. I’ve had some occasional back pain in the past, but nothing like this.",
Scenario 1,"Alright, and are you currently taking any medications?","No, I’m not taking anything for it.",
Scenario 1,"Alright, thanks for letting me know. Have you received any previous treatment for this pain?","No, I haven’t.",
Scenario 1,"Okay. Lastly, I just need to ask you a few more questions related to any red or yellow flag symptoms. Have you experienced any numbness or tingling in your legs or feet?","No, I haven’t.",
Scenario 1,"Okay, good to know. Have you had any loss of bladder or bowel control?","No, definitely not.",
Scenario 1,"Okay, and have you experienced any recent unexplained weight loss or fever?","No, I haven’t.",
Scenario 1,"Great, thank you for answering all of those questions. Based on what you’ve told me, it sounds like you may be experiencing some muscle strain or spasms in your lower back. I’d like to perform a physical exam to get a better understanding of what’s going on, and then we can discuss some treatment options.",That sounds good to me. Thanks for your help!,
Scenario 1,"Before we begin the exam, I just want to go over a few more details about your pain. On a scale from 1 to 10, with 10 being the worst pain imaginable, how would you rate your pain?",I would say it’s about a 7.,
Scenario 1,"Okay, and how long have you been experiencing this pain?",It’s been about 4 or 5 days now.,
Scenario 1,I see. And have you noticed any swelling or redness in the area?,"No, there hasn’t been any swelling or redness that I’ve noticed.",
Scenario 1,"Alright, thank you. Can you also tell me a little bit about your daily activities? What kind of work do you do and how physically demanding is it?","I work in an office, so I’m sitting at a desk for most of the day. It’s not very physically demanding, but I do have to lift some heavy files and boxes from time to time.",
Scenario 1,I see. And do you participate in any sports or other physical activities outside of work?,"Not really. I go for walks occasionally, but that’s about it.",
Scenario 1,"Alright, thanks for letting me know. Now, I’d like to start the physical exam. Please stand up and let’s begin by checking your range of motion. Can you try to touch your toes for me?",Sure. (Patient attempts to touch toes but experiences pain and is unable to fully reach them),
Scenario 1,"Okay, thank you. Now, can you lay down on your back and lift your legs up one at a time, like you’re marching in place?",(Patient tries to lift legs but experiences pain),
Scenario 1,"Okay, thank you for trying. Based on what I’ve seen so far, it looks like you may be experiencing some muscle strain or spasms in your lower back. I’d like to perform a few more tests to confirm my diagnosis, and then we can discuss some treatment options.","Alright, sounds good.",
Scenario 1,"Let’s start by checking your reflexes. I’m going to tap your knees with this reflex hammer, and I want you to tell me if you feel any discomfort.",(Patient feels no discomfort),
Scenario 1,"Okay, great. Now, I’d like to check your sensation by lightly touching different areas of your legs and feet with this cotton swab. Can you let me know if you feel any sharpness or dullness?",(Patient feels sensation in all areas),
Scenario 1,"Of course, happy to help. And don’t hesitate to reach out if you have any further questions or concerns.",That all sounds good to me. Thank you so much for your help!,
Scenario 2,"Hey, Mark. Good to see you again. How have you been feeling?","Hey, doc. Not too good, actually. I've been having this pain in my lower back for a while now, and I have a history of substance abuse. I'm worried about taking pain medication, but the pain is really affecting my daily life. What do you suggest?",
Scenario 2,"Okay, let's take a look. Can you tell me how the pain started?","Honestly, I'm not really sure. I've been feeling it for a while, but it's gotten worse over the past few weeks.",
Scenario 2,And where is the pain located?,"It's in my lower back, right around my hips.",
Scenario 2,And can you describe the type of pain you're feeling?,"It's a dull ache most of the time, but sometimes it gets sharp and stabbing.",
Scenario 2,Are there any particular activities that make the pain worse or better?,"Sitting for too long definitely makes it worse, but walking and stretching help a little.",
Scenario 2,Okay. And how long does the pain usually last?,"It's pretty much constant, but it gets worse at night.",
Scenario 2,Have you had any previous injuries or medical conditions that might be related?,"Not really, no. Just some minor injuries from playing sports when I was younger.",
Scenario 2,Okay. And are you taking any medication currently?,"No, I'm not.",
Scenario 2,Have you had any previous treatment for this pain?,"No, I haven't.",
Scenario 2,"Alright. Now, I need to ask you some red and yellow flag questions. Have you experienced any loss of bladder or bowel control?","No, nothing like that.",
Scenario 2,Any numbness or tingling in your legs?,"No, not really.",
Scenario 2,Have you had any unexplained weight loss recently?,"No, I don't think so.",
Scenario 2,"Okay, good. Based on your symptoms, I think it might be a good idea to get an X-ray or MRI scan to get a better look at what's going on. Would you be willing to do that?","Yeah, I guess so.",
Scenario 2,"Alright, we'll set that up for you. In the meantime, we can work on some stretches and exercises to help manage your pain. It's important to keep moving, but we'll also be careful not to aggravate the pain. How has the pain been affecting your quality of life?","It's been making it really hard to focus at work, and I've had to take some time off. I'm just really frustrated with the whole thing.",
Scenario 2,"I understand. We'll work together to find a way to manage the pain and get you back to your normal activities as soon as possible. Okay, can you tell me where exactly the pain is located?","It's in my lower back, kind of right above my hips.",
Scenario 2,"And can you describe the pain? Is it aching, sharp, or something else?","It's mostly an ache, but sometimes it can be a sharp pain too.",
Scenario 2,I see. Are there any activities that seem to make the pain worse or better?,"Well, it usually feels worse when I'm sitting for a long time, but it feels a little better when I stand up and walk around.",
Scenario 2,"Okay, that's helpful to know. How long has the pain been going on?",It's been on and off for a few months now.,
Scenario 2,"Alright. Now I'm going to ask you a few red and yellow flag questions, just to make sure we're not missing anything serious. Have you had any issues with bladder or bowel control?","No, nothing like that.",
Scenario 2,Have you noticed any numbness or tingling in your legs?,"Yeah, actually. My left leg feels a little numb sometimes.",
Scenario 2,"Okay, and have you experienced any unexplained weight loss recently?","No, my weight has been pretty stable.",
Scenario 2,"Great. Now, can you tell me a little bit about how the pain is affecting your quality of life? Specifically, are you having any difficulty at work?","Yeah, it's been tough. I work in construction, so I'm on my feet a lot and lifting heavy things. The pain is definitely affecting my ability to do my job.",
Scenario 2,"Okay, that's definitely something we'll need to take into consideration when developing a treatment plan. Thanks for answering all of my questions, Mark. Based on what you've told me, I think we should do a few tests to get a better idea of what's going on. We might need to do an X-ray or an MRI scan to see if there's anything going on with your spine or your muscles. Does that sound okay to you?","Yeah, that sounds good. I just really want to figure out what's causing the pain so I can get back to work.",
Scenario 2,"I understand, and we'll do our best to get to the bottom of it. In the meantime, we can also work on some exercises and stretches that might help alleviate the pain. I'll put together a plan that's tailored to your specific needs and goals. Sound good?","Yeah, that sounds great. Thanks, doc.",
